customer_id,first_name,last_name,email,registration_date,region,customer_segment
1,Jessica,Brown,jessica.brown1@email.com,7/5/2023,West,Occasional
2,Susan,Garcia,susan.garcia2@email.com,11/30/2023,East,Occasional
3,Sarah,Thomas,sarah.thomas3@email.com,10/31/2023,East,Regular
4,Linda,Williams,linda.williams4@email.com,11/4/2023,South,Occasional
5,Charles,Martin,charles.martin5@email.com,6/22/2023,North,Occasional
6,David,Garcia,david.garcia6@email.com,7/1/2023,East,Regular
7,Karen,White,karen.white7@email.com,10/12/2023,North,Occasional
8,Michael,Williams,michael.williams8@email.com,11/9/2023,West,Occasional
9,Linda,White,linda.white9@email.com,12/31/2023,West,Occasional
10,James,Williams,james.williams10@email.com,11/10/2023,South,Regular
11,Charles,Lopez,charles.lopez11@email.com,9/29/2023,East,Occasional
12,Lisa,Moore,lisa.moore12@email.com,10/3/2023,West,Regular
13,William,Davis,william.davis13@email.com,12/7/2023,East,VIP
14,Sarah,White,sarah.white14@email.com,12/4/2023,West,Regular
15,Charles,Taylor,charles.taylor15@email.com,2/21/2023,South,Regular
16,Elizabeth,Garcia,elizabeth.garcia16@email.com,10/24/2023,South,Regular
17,Mary,Moore,mary.moore17@email.com,12/15/2023,West,VIP
18,James,Jackson,james.jackson18@email.com,10/31/2023,West,Regular
19,Mary,Rodriguez,mary.rodriguez19@email.com,9/2/2023,North,Occasional
20,Richard,Thomas,richard.thomas20@email.com,10/12/2023,North,Regular
21,Charles,Martinez,charles.martinez21@email.com,11/30/2023,North,Occasional
22,Susan,Martin,susan.martin22@email.com,11/13/2023,South,Occasional
23,Richard,Anderson,richard.anderson23@email.com,6/2/2023,Central,Occasional
24,Barbara,Jackson,barbara.jackson24@email.com,11/9/2023,North,Occasional
25,Michael,Lee,michael.lee25@email.com,10/8/2023,North,Regular
26,Jennifer,Moore,jennifer.moore26@email.com,12/31/2023,West,Occasional
27,Karen,Thomas,karen.thomas27@email.com,12/2/2023,East,Occasional
28,Daniel,Anderson,daniel.anderson28@email.com,12/2/2023,East,Occasional
29,Christopher,Jackson,christopher.jackson29@email.com,4/12/2023,West,VIP
30,Linda,Lee,linda.lee30@email.com,11/27/2023,South,VIP
31,Jennifer,Martinez,jennifer.martinez31@email.com,10/19/2023,East,Occasional
32,Joseph,White,joseph.white32@email.com,11/10/2023,East,Occasional
33,Jessica,Anderson,jessica.anderson33@email.com,12/26/2023,West,Occasional
34,Karen,Rodriguez,karen.rodriguez34@email.com,12/2/2023,Central,Occasional
35,James,Thompson,james.thompson35@email.com,10/23/2023,North,Occasional
36,Jennifer,Thomas,jennifer.thomas36@email.com,8/15/2023,East,Regular
37,Charles,Wilson,charles.wilson37@email.com,9/9/2023,North,Occasional
38,Susan,Hernandez,susan.hernandez38@email.com,12/18/2023,South,Regular
39,Daniel,Thomas,daniel.thomas39@email.com,11/10/2023,Central,VIP
40,John,Hernandez,john.hernandez40@email.com,12/17/2023,West,Occasional
41,James,Thompson,james.thompson41@email.com,8/25/2023,West,VIP
